world,count,condition
1,0.2411764705882353,1.0
2,0.3355263157894737,1.0
3,0.28104575163398693,1.0
4,0.2619047619047619,1.0
5,0.3611111111111111,2.0
6,0.39743589743589747,2.0
7,0.3622448979591837,2.0
8,0.4355555555555556,2.0
9,0.34604105571847504,3.0
10,0.35714285714285715,3.0
11,0.44,3.0
12,0.3902439024390244,3.0
13,0.38383838383838387,4.0
14,0.49471458773784355,4.0
15,0.19591836734693877,4.0
16,0.5597826086956522,4.0
