world,count,condition
1,0.6092552026286965,1.0
2,0.6707943219571127,1.0
3,0.5588507877664504,1.0
4,0.5779352226720648,1.0
5,0.7266380236305049,2.0
6,0.7214141414141414,2.0
7,0.6992710795902285,2.0
8,0.7309189189189189,2.0
9,0.7195172700790677,3.0
10,0.7128034862004565,3.0
11,0.704563492063492,3.0
12,0.6944305694305695,3.0
13,0.7003025064822818,4.0
14,0.7310559006211181,4.0
15,0.8050896471949104,4.0
16,0.7538126361655773,4.0
