world,count,condition
1,0.02918388429752066,1.0
2,0.036506219578150347,1.0
3,0.025702662721893497,1.0
4,0.030532544378698227,1.0
5,0.06088529594663349,2.0
6,0.04981634527089072,2.0
7,0.04531965192897742,2.0
8,0.053312,2.0
9,0.04398148148148149,3.0
10,0.04232733136253695,3.0
11,0.04358780549256739,3.0
12,0.03793154342604893,3.0
13,0.03933986686390532,4.0
14,0.05194706994328923,4.0
15,0.08872461440115392,4.0
16,0.054729710814366894,4.0
